anhydrobiosis_time	treatment	grou_ID	time_min	active
3	control	1	10	0
3	control	1	10	1
3	control	1	10	0
3	control	1	20	3
3	control	1	20	4
3	control	1	20	6
3	control	1	30	5
3	control	1	30	5
3	control	1	30	7
3	control	1	40	8
3	control	1	40	6
3	control	1	40	8
3	control	1	60	9
3	control	1	60	7
3	control	1	60	8
3	control	1	90	9
3	control	1	90	7
3	control	1	90	8
3	control	1	120	9
3	control	1	120	8
3	control	1	120	8
3	control	1	180	9
3	control	1	180	8
3	control	1	180	10
3	control	1	240	9
3	control	1	240	8
3	control	1	240	10
3	control	1	360	9
3	control	1	360	8
3	control	1	360	10
3	control	1	480	9
3	control	1	480	8
3	control	1	480	10
3	control	1	1440	9
3	control	1	1440	8
3	control	1	1440	10
3	0.1 mM BHAM	2	10	0
3	0.1 mM BHAM	2	10	0
3	0.1 mM BHAM	2	10	0
3	0.1 mM BHAM	2	20	0
3	0.1 mM BHAM	2	20	3
3	0.1 mM BHAM	2	20	0
3	0.1 mM BHAM	2	30	0
3	0.1 mM BHAM	2	30	5
3	0.1 mM BHAM	2	30	2
3	0.1 mM BHAM	2	40	1
3	0.1 mM BHAM	2	40	7
3	0.1 mM BHAM	2	40	4
3	0.1 mM BHAM	2	60	4
3	0.1 mM BHAM	2	60	9
3	0.1 mM BHAM	2	60	6
3	0.1 mM BHAM	2	90	4
3	0.1 mM BHAM	2	90	10
3	0.1 mM BHAM	2	90	8
3	0.1 mM BHAM	2	120	6
3	0.1 mM BHAM	2	120	10
3	0.1 mM BHAM	2	120	8
3	0.1 mM BHAM	2	180	6
3	0.1 mM BHAM	2	180	10
3	0.1 mM BHAM	2	180	9
3	0.1 mM BHAM	2	240	6
3	0.1 mM BHAM	2	240	10
3	0.1 mM BHAM	2	240	10
3	0.1 mM BHAM	2	360	7
3	0.1 mM BHAM	2	360	10
3	0.1 mM BHAM	2	360	10
3	0.1 mM BHAM	2	480	7
3	0.1 mM BHAM	2	480	10
3	0.1 mM BHAM	2	480	10
3	0.1 mM BHAM	2	1440	9
3	0.1 mM BHAM	2	1440	10
3	0.1 mM BHAM	2	1440	10
3	0.2 mM BHAM	3	10	0
3	0.2 mM BHAM	3	10	0
3	0.2 mM BHAM	3	10	0
3	0.2 mM BHAM	3	20	0
3	0.2 mM BHAM	3	20	0
3	0.2 mM BHAM	3	20	0
3	0.2 mM BHAM	3	30	0
3	0.2 mM BHAM	3	30	0
3	0.2 mM BHAM	3	30	1
3	0.2 mM BHAM	3	40	0
3	0.2 mM BHAM	3	40	2
3	0.2 mM BHAM	3	40	3
3	0.2 mM BHAM	3	60	0
3	0.2 mM BHAM	3	60	4
3	0.2 mM BHAM	3	60	5
3	0.2 mM BHAM	3	90	1
3	0.2 mM BHAM	3	90	4
3	0.2 mM BHAM	3	90	5
3	0.2 mM BHAM	3	120	4
3	0.2 mM BHAM	3	120	7
3	0.2 mM BHAM	3	120	5
3	0.2 mM BHAM	3	180	5
3	0.2 mM BHAM	3	180	7
3	0.2 mM BHAM	3	180	6
3	0.2 mM BHAM	3	240	5
3	0.2 mM BHAM	3	240	8
3	0.2 mM BHAM	3	240	6
3	0.2 mM BHAM	3	360	8
3	0.2 mM BHAM	3	360	10
3	0.2 mM BHAM	3	360	8
3	0.2 mM BHAM	3	480	8
3	0.2 mM BHAM	3	480	10
3	0.2 mM BHAM	3	480	8
3	0.2 mM BHAM	3	1440	8
3	0.2 mM BHAM	3	1440	10
3	0.2 mM BHAM	3	1440	8
30	control	1	10	0
30	control	1	10	0
30	control	1	10	0
30	control	1	20	0
30	control	1	20	0
30	control	1	20	0
30	control	1	30	3
30	control	1	30	1
30	control	1	30	0
30	control	1	40	8
30	control	1	40	1
30	control	1	40	0
30	control	1	60	8
30	control	1	60	3
30	control	1	60	4
30	control	1	90	8
30	control	1	90	6
30	control	1	90	5
30	control	1	120	8
30	control	1	120	7
30	control	1	120	5
30	control	1	180	8
30	control	1	180	8
30	control	1	180	6
30	control	1	240	9
30	control	1	240	9
30	control	1	240	7
30	control	1	360	9
30	control	1	360	10
30	control	1	360	7
30	control	1	480	9
30	control	1	480	10
30	control	1	480	7
30	control	1	1440	9
30	control	1	1440	10
30	control	1	1440	7
30	0.1 mM BHAM	2	10	0
30	0.1 mM BHAM	2	10	0
30	0.1 mM BHAM	2	10	0
30	0.1 mM BHAM	2	20	1
30	0.1 mM BHAM	2	20	0
30	0.1 mM BHAM	2	20	0
30	0.1 mM BHAM	2	30	3
30	0.1 mM BHAM	2	30	0
30	0.1 mM BHAM	2	30	0
30	0.1 mM BHAM	2	40	4
30	0.1 mM BHAM	2	40	0
30	0.1 mM BHAM	2	40	0
30	0.1 mM BHAM	2	60	6
30	0.1 mM BHAM	2	60	0
30	0.1 mM BHAM	2	60	2
30	0.1 mM BHAM	2	90	6
30	0.1 mM BHAM	2	90	5
30	0.1 mM BHAM	2	90	5
30	0.1 mM BHAM	2	120	8
30	0.1 mM BHAM	2	120	5
30	0.1 mM BHAM	2	120	6
30	0.1 mM BHAM	2	180	9
30	0.1 mM BHAM	2	180	5
30	0.1 mM BHAM	2	180	6
30	0.1 mM BHAM	2	240	10
30	0.1 mM BHAM	2	240	5
30	0.1 mM BHAM	2	240	7
30	0.1 mM BHAM	2	360	10
30	0.1 mM BHAM	2	360	5
30	0.1 mM BHAM	2	360	7
30	0.1 mM BHAM	2	480	10
30	0.1 mM BHAM	2	480	5
30	0.1 mM BHAM	2	480	8
30	0.1 mM BHAM	2	1440	10
30	0.1 mM BHAM	2	1440	6
30	0.1 mM BHAM	2	1440	8
30	0.2 mM BHAM	3	10	0
30	0.2 mM BHAM	3	10	0
30	0.2 mM BHAM	3	10	0
30	0.2 mM BHAM	3	20	1
30	0.2 mM BHAM	3	20	0
30	0.2 mM BHAM	3	20	0
30	0.2 mM BHAM	3	30	1
30	0.2 mM BHAM	3	30	0
30	0.2 mM BHAM	3	30	0
30	0.2 mM BHAM	3	40	2
30	0.2 mM BHAM	3	40	0
30	0.2 mM BHAM	3	40	0
30	0.2 mM BHAM	3	60	2
30	0.2 mM BHAM	3	60	0
30	0.2 mM BHAM	3	60	0
30	0.2 mM BHAM	3	90	2
30	0.2 mM BHAM	3	90	0
30	0.2 mM BHAM	3	90	0
30	0.2 mM BHAM	3	120	2
30	0.2 mM BHAM	3	120	0
30	0.2 mM BHAM	3	120	0
30	0.2 mM BHAM	3	180	3
30	0.2 mM BHAM	3	180	0
30	0.2 mM BHAM	3	180	0
30	0.2 mM BHAM	3	240	3
30	0.2 mM BHAM	3	240	4
30	0.2 mM BHAM	3	240	1
30	0.2 mM BHAM	3	360	4
30	0.2 mM BHAM	3	360	4
30	0.2 mM BHAM	3	360	1
30	0.2 mM BHAM	3	480	6
30	0.2 mM BHAM	3	480	5
30	0.2 mM BHAM	3	480	1
30	0.2 mM BHAM	3	1440	9
30	0.2 mM BHAM	3	1440	6
30	0.2 mM BHAM	3	1440	2
60	control	1	10	0
60	control	1	10	0
60	control	1	10	0
60	control	1	10	0
60	control	1	20	0
60	control	1	20	0
60	control	1	20	0
60	control	1	20	0
60	control	1	30	1
60	control	1	30	0
60	control	1	30	2
60	control	1	30	0
60	control	1	40	2
60	control	1	40	1
60	control	1	40	4
60	control	1	40	1
60	control	1	60	5
60	control	1	60	1
60	control	1	60	6
60	control	1	60	4
60	control	1	90	5
60	control	1	90	2
60	control	1	90	6
60	control	1	90	6
60	control	1	120	6
60	control	1	120	4
60	control	1	120	8
60	control	1	120	6
60	control	1	180	7
60	control	1	180	5
60	control	1	180	8
60	control	1	180	7
60	control	1	240	8
60	control	1	240	5
60	control	1	240	8
60	control	1	240	7
60	control	1	360	9
60	control	1	360	6
60	control	1	360	8
60	control	1	360	7
60	control	1	480	10
60	control	1	480	9
60	control	1	480	8
60	control	1	480	8
60	control	1	1440	10
60	control	1	1440	9
60	control	1	1440	8
60	control	1	1440	9
60	0.1 mM BHAM	2	10	0
60	0.1 mM BHAM	2	10	0
60	0.1 mM BHAM	2	10	0
60	0.1 mM BHAM	2	10	0
60	0.1 mM BHAM	2	20	0
