population	time	moving	total
Paramacrobiotus_cf_klymenki_S108	1	1	20
Paramacrobiotus_cf_klymenki_S108	4	8	20
Paramacrobiotus_cf_klymenki_S108	24	10	20
Macrobiotus_ripperi_S14	1	1	39
Macrobiotus_ripperi_S14	4	11	39
Macrobiotus_ripperi_S14	24	19	39
Macrobiotus_annewintersae_S207	1	16	39
Macrobiotus_annewintersae_S207	4	22	39
Macrobiotus_annewintersae_S207	24	36	39
Macrobiotus_cf_joannae_S33	1	0	37
Macrobiotus_cf_joannae_S33	4	8	37
Macrobiotus_cf_joannae_S33	24	22	37
Mesobiotus_sp_S16	1	1	32
Mesobiotus_sp_S16	4	2	32
Mesobiotus_sp_S16	24	13	32
Macrobiotus_macrocalix_S71	1	1	21
Macrobiotus_macrocalix_S71	4	2	21
Macrobiotus_macrocalix_S71	24	4	21
Paramacrobiotus_richtersi_S38	1	35	40
Paramacrobiotus_richtersi_S38	4	36	40
Paramacrobiotus_richtersi_S38	24	37	40
Macrobiotus_pallarii_S100	1	1	21
Macrobiotus_pallarii_S100	4	7	21
Macrobiotus_pallarii_S100	24	16	21
Macrobiotus_hannae_PL010	1	9	29
Macrobiotus_hannae_PL010	4	20	29
Macrobiotus_hannae_PL010	24	22	29
Macrobiotus_kamilae_IN030	1	15	21
Macrobiotus_kamilae_IN030	4	16	21
Macrobiotus_kamilae_IN030	24	17	21
Macrobiotus_shonaicus	1	20	22
Macrobiotus_shonaicus	4	21	22
Macrobiotus_shonaicus	24	22	22
Macrobiotus_cf_sapiens_S12	1	34	40
Macrobiotus_cf_sapiens_S12	4	36	40
Macrobiotus_cf_sapiens_S12	24	38	40
Richtersius_sp_S606	1	13	29
Richtersius_sp_S606	4	17	29
Richtersius_sp_S606	24	17	29
Paramacrobiotus_sp_S175	1	0	35
Paramacrobiotus_sp_S175	4	4	35
Paramacrobiotus_sp_S175	24	10	35
Paramacrobiotus_fairbanksi_S09	1	0	36
Paramacrobiotus_fairbanksi_S09	4	0	36
Paramacrobiotus_fairbanksi_S09	24	0	36
Macrobiotus_sp_S165	1	0	37
Macrobiotus_sp_S165	4	0	37
Macrobiotus_sp_S165	24	2	37
Paramacrobiotus_sp_S85	1	0	40
Paramacrobiotus_sp_S85	4	0	40
Paramacrobiotus_sp_S85	24	0	40
Macrobiotus_ripperi_PL015	1	12	38
Macrobiotus_ripperi_PL015	4	18	38
Macrobiotus_ripperi_PL015	24	26	38
Paramacrobiotus_fairbanksi_S42	1	0	42
Paramacrobiotus_fairbanksi_S42	4	4	42
Paramacrobiotus_fairbanksi_S42	24	16	42
Mesobiotus_occultatus_GB	1	0	38
Mesobiotus_occultatus_GB	4	0	38
Mesobiotus_occultatus_GB	24	2	38
Paramacrobiotus_spatialis_S107	1	1	36
Paramacrobiotus_spatialis_S107	4	7	36
Paramacrobiotus_spatialis_S107	24	16	36
Paramacrobiotus_cf_klymenki_PT006	1	11	39
Paramacrobiotus_cf_klymenki_PT006	4	30	39
Paramacrobiotus_cf_klymenki_PT006	24	34	39





















